node,domain,domain_name,short,mean,consensus,degree,strength
E01,E,Education,Projects > exams,1.3218390804597702,0.6777125000447313,1,0.38093425705244927
E02,E,Education,Exams measure knowledge,-0.160919540229885,0.5823236372456914,0,0.0
E03,E,Education,Compulsory attendance,-0.942528735632184,0.5943453839132953,1,0.4045575292667455
E04,E,Education,Online complements class,0.4367816091954023,0.5466874655345804,0,0.0
E05,E,Education,Courses outside major,1.0941176470588236,0.7071701924529961,1,0.4307626555182332
E06,E,Education,Research for every UG,0.872093023255814,0.6773930244699062,2,0.8247475821617762
E07,E,Education,Publishing optional,1.2988505747126438,0.7360807299826905,9,3.856538649895275
E08,E,Education,Honesty > grades,1.258823529411765,0.7175342721152029,0,0.0
E09,E,Education,Collaborative > individual,0.7906976744186046,0.6201221209645933,0,0.0
E10,E,Education,Innovation > rote,1.528735632183908,0.7542414196457857,10,3.9847183708543557
E11,E,Education,Update curricula faster,1.6206896551724137,0.7872416893839449,9,3.5450840128935126
E12,E,Education,AI in teaching,0.9310344827586208,0.6520367017915587,7,2.836344063487428
E13,E,Education,Research > infrastructure,0.3411764705882353,0.6720210454809058,0,0.0
E14,E,Education,Industry collaboration,1.528735632183908,0.7591578950722448,4,1.7084262058636386
E15,E,Education,Lifelong learning,1.7126436781609196,0.8340166192529346,8,3.3429339953338517
S01,S,Ethics & Society,Duty to society,1.2790697674418603,0.6885918160535514,4,1.6799221051112905
S02,S,Ethics & Society,Community service,0.8390804597701149,0.639029944649681,6,2.408901732354034
S03,S,Ethics & Society,Assess tech impact first,1.264367816091954,0.703114699580061,7,2.802984772823626
S04,S,Ethics & Society,Platforms accountable,1.1494252873563218,0.6543811168737942,6,2.3154819965473354
S05,S,Ethics & Society,Control over own data,1.632183908045977,0.7977921170688778,3,1.2859770159926311
S06,S,Ethics & Society,Shared misinfo duty,1.3908045977011494,0.7127793683094206,12,4.815092421285354
S07,S,Ethics & Society,Equal opportunity,1.430232558139535,0.7224420813325225,9,3.5906127160982106
S08,S,Ethics & Society,Diverse teams better,0.9186046511627908,0.6436740020312665,0,0.0
S09,S,Ethics & Society,Inclusive discourse,1.4705882352941178,0.7842583967290087,22,9.220833292966818
S10,S,Ethics & Society,Evidence-based policy,1.25,0.7516416163927228,7,2.7874673303162067
S11,S,Ethics & Society,Free expression w/o harm,1.5517241379310345,0.7856194318621598,11,4.455065436025701
S12,S,Ethics & Society,Youth civic action,1.255813953488372,0.7325450084717253,5,1.8965063439847287
S13,S,Ethics & Society,Teach critical evaluation,1.264367816091954,0.7513075023880287,12,4.931204982775536
S14,S,Ethics & Society,Ethical leadership,1.2976190476190477,0.7400672580699076,16,6.704860178964099
S15,S,Ethics & Society,Public trust in tech,1.244186046511628,0.7024851548787945,11,4.434697066272796
T01,T,Technology,AI benefits > harms,0.6373626373626373,0.6604490664562704,1,0.3678840265917699
T02,T,Technology,GenAI as learning aid,1.0,0.692125961863378,2,0.8502742324866959
T03,T,Technology,Disclose AI use,1.0112359550561798,0.7388331500602037,1,0.3875252401085992
T04,T,Technology,AI education for engineers,1.2087912087912087,0.7099847066350417,0,0.0
T05,T,Technology,AI accelerates science,1.1868131868131868,0.6877001818987813,0,0.0
T06,T,Technology,Automation replaces jobs,1.2087912087912087,0.7028505809959242,4,1.4844897763014817
T07,T,Technology,Robots in hazardous jobs,1.2087912087912087,0.6282267551468077,1,0.3658228282921394
T08,T,Technology,Routine AI diagnosis,0.0777777777777777,0.6170681609076085,0,0.0
T09,T,Technology,AVs make roads safer,0.2777777777777778,0.659741405071609,0,0.0
T10,T,Technology,Privacy > convenience,1.1538461538461535,0.7012626251816029,2,0.9937899279995925
T11,T,Technology,Explain recommenders,1.1573033707865168,0.7071332921053232,6,2.3660270330467585
T12,T,Technology,Stricter AI regulation,1.022222222222222,0.6650578538811925,6,2.4873258949509496
T13,T,Technology,Cybersecurity > new tech,0.9775280898876404,0.6841475052712472,1,0.48997597901486206
T14,T,Technology,Algorithms polarise,1.5,0.7302181630974318,0,0.0
T15,T,Technology,Reliance on AI decisions,1.1666666666666667,0.7381403614936782,0,0.0
V01,V,Environment,Urgent climate action,1.5176470588235291,0.7741481985139207,6,2.361930622610216
V02,V,Environment,Renewables > fossil,1.4352941176470588,0.7401098359681564,5,2.0116902622609523
V03,V,Environment,Cut personal energy use,0.9651162790697676,0.7009950031104073,9,3.8044568593206636
V04,V,Environment,Promote public transport,1.3837209302325582,0.7430625886213975,13,5.0821728559262525
V05,V,Environment,Restrict single-use plastic,1.372093023255814,0.7218052889037497,7,3.124236737805332
V06,V,Environment,Water conservation,1.511904761904762,0.7847213451256478,10,4.383147213751356
V07,V,Environment,Biodiversity essential,1.4941176470588236,0.76119718050044,17,7.7799702429336195
V08,V,Environment,Green campus despite cost,1.2941176470588236,0.7468104157830655,16,7.0534552319603465
V09,V,Environment,Design for reuse/repair,1.6,0.765769370041681,9,3.9596552843079373
V10,V,Environment,Eco-conscious buying,1.035294117647059,0.7236459401795066,15,6.592267311360606
V11,V,Environment,Tech solves environment,1.3214285714285714,0.7571812019853024,7,2.7327279583080406
V12,V,Environment,Sustainability in curricula,1.119047619047619,0.6968654237008044,14,6.154854556756798
V13,V,Environment,Corporate eco-accountability,1.6705882352941177,0.8129715144430394,13,5.599948873046396
V14,V,Environment,International cooperation,1.5529411764705885,0.7745874124685745,14,5.731987421331384
V15,V,Environment,Duty to future generations,1.5058823529411764,0.7760804287925429,16,6.365595899115369
